platform,pform_full,pform_manuf
NES,Nintendo Entertainment System,Nintendo
SNES,Super Nintendo Entertainment System,Nintendo
N64,Nintendo 64,Nintendo
GC,Nintendo GameCube,Nintendo
Wii,Wii,Nintendo
WiiU,Wii U,Nintendo
GB,GameBoy,Nintendo
GBC,GameBoy Color,Nintendo
GBA,GameBoy Advance,Nintendo
DS,Nintendo DS,Nintendo
3DS,Nindentendo 3DS,Nintendo
PS,PlayStation,Sony
PS2,PlayStation 2,Sony
PS3,PlayStation 3,Sony
PS4,PlayStation 4,Sony
PSP,PlayStation Portable,Sony
PSV,PlayStation Vita,Sony
XB,Xbox,Microsoft
X360,Xbox 360,Microsoft
XOne,Xbox One,Microsoft
PC,PC,
2600,Atari 2600,Atari Inc.
SAT,Saturn,Sega
DC,Dreamcast,Sega
GEN,Genesis,Sega
NG,Neo-Geo,SNK
SCD,Sega CD,Sega
WS,WonderSwan,Bandai
PCFX,PC-FX,NEC
GG,Game Gear,Sega
TG16,TurboGrafx-16,NEC
3DO,3DO Interactive Multiplayer,Panasonic
