Initiales,nom,manufactureur,nb_jeu,sortie_eu,sortie_usa,sortir_jp,gen
NES,Nintendo Entertainment System,Nintendo,715,27/10/1987,18/10/1985,15/07/1983,3
SNES,Super Nintendo Entertainment System,Nintendo,1757,6/6/1992,23/08/1991,21/11/1990,4
N64,Nintendo 64,Nintendo,388,1/3/1997,29/09/1996,23/06/1996,5
GC,Nintendo GameCube,Nintendo,657,3/5/2001,18/11/2001,14/09/2001,6
Wii,Wii,Nintendo,1541,8/12/2006,19/11/2006,2/12/2006,7
WiiU,Wii U,Nintendo,772,30/11/2012,18/11/2012,8/12/2012,8
GB,GameBoy,Nintendo,1055,28/09/1989,31/07/1989,21/04/1989,4
GBC,GameBoy Color,Nintendo,660,23/11/1998,18/11/1998,21/10/1998,5
GBA,GameBoy Advance,Nintendo,1504,22/06/2001,11/6/2001,21/03/2001,6
DS,Nintendo DS,Nintendo,1965,11/3/2005,21/11/2004,2/12/2004,7
3DS,Nindentendo 3DS,Nintendo,1330,25/03/2011,27/03/2011,26/02/2011,8
PS,PlayStation,Sony,3066,29/09/1995,9/9/1995,3/12/1994,5
PS2,PlayStation 2,Sony,4490,24/11/2000,26/10/2000,4/3/2000,6
PS3,PlayStation 3,Sony,1442,23/03/2007,17/11/2006,11/11/2006,7
PS4,PlayStation 4,Sony,2504,29/11/2013,15/11/2013,22/02/2014,8
PSP,PlayStation Portable,Sony,1370,1/9/2005,24/03/2005,12/12/2004,7
PSV,PlayStation Vita,Sony,1535,22/02/2012,22/02/2012,17/12/2011,8
XB,Xbox,Microsoft,1000,14/03/2002,15/11/2001,22/02/2002,6
X360,Xbox 360,Microsoft,2084,2/12/2005,22/11/2005,10/12/2005,7
XOne,Xbox One,Microsoft,2440,22/11/2013,22/11/2013,4/9/2014,8
PC,PC,null,null,null,null,null,null
2600,Atari 2600,Atari Inc.,526,1/1/1978,11/9/1997,1/10/1983,2
SAT,Saturn,Sega,1094,8/7/1995,11/5/1995,22/11/1994,5
DC,Dreamcast,Sega,620,14/10/1999,9/9/1999,27/11/1998,6
GEN,Genesis,Sega,902,30/11/1990,14/08/1989,29/10/1988,4
NG,Neo-Geo,SNK,156,1/11/1990,null,26/04/1990,4
SCD,Sega CD,Sega,210,1/4/1993,15/10/1992,12/12/1991,4
WS,WonderSwan,Bandai,103,null,null,4/3/1999,6
PCFX,PC-FX,NEC,62,null,null,23/12/1994,5
GG,Game Gear,Sega,366,1/4/1991,1/4/1991,6/10/1990,4
TG16,TurboGrafx-16,NEC,686,22/11/1989,29/08/1989,30/10/1987,4
3DO,3DO Interactive Multiplayer,Panasonic,321,11/6/1994,4/10/1993,20/03/1994,5
